<reference>NuMad format, 73 pts.</reference>	
<coords>	
1.000000000	0.000000000
1.000000000	-0.006130000
0.983520000	-0.003470000
0.958680000	-0.000120000
0.933690000	0.002070000
0.908590000	0.003050000
0.875080000	0.002370000
0.841650000	-0.000440000
0.808390000	-0.005110000
0.775410000	-0.011630000
0.742780000	-0.019930000
0.710500000	-0.029550000
0.670570000	-0.042970000
0.630980000	-0.057320000
0.591490000	-0.071880000
0.551840000	-0.085990000
0.511820000	-0.099070000
0.479440000	-0.108450000
0.446710000	-0.116620000
0.413660000	-0.123410000
0.380330000	-0.128710000
0.346780000	-0.132360000
0.321510000	-0.133970000
0.296200000	-0.134550000
0.270900000	-0.134060000
0.245660000	-0.132450000
0.220530000	-0.129660000
0.195590000	-0.125620000
0.170930000	-0.120220000
0.146640000	-0.113410000
0.122860000	-0.105120000
0.099730000	-0.095270000
0.077400000	-0.083820000
0.056150000	-0.070630000
0.035920000	-0.055470000
0.017620000	-0.037810000
0.003550000	-0.016410000
0.000000000	0.000000000
0.002490000	0.016140000
0.013700000	0.037920000
0.029940000	0.056240000
0.049050000	0.072470000
0.069910000	0.086090000
0.091970000	0.097590000
0.114870000	0.107240000
0.138400000	0.115220000
0.162380000	0.121670000
0.186680000	0.126720000
0.211200000	0.130480000
0.252350000	0.134260000
0.285370000	0.135370000
0.318390000	0.135020000
0.351350000	0.133450000
0.384240000	0.130830000
0.417020000	0.127330000
0.449720000	0.123070000
0.482310000	0.118170000
0.514820000	0.112720000
0.555360000	0.105290000
0.595800000	0.097290000
0.636160000	0.088810000
0.676470000	0.079970000
0.716750000	0.070860000
0.748970000	0.063430000
0.781200000	0.055940000
0.813460000	0.048430000
0.845760000	0.040940000
0.878100000	0.033500000
0.910520000	0.026170000
0.934880000	0.020760000
0.959280000	0.015440000
0.983710000	0.010100000
1.000000000	0.006520000
</coords>	
