<reference>NuMad format, 73 pts.</reference>	
<coords>	
1.000000000	0.000000000
1.000000000	-0.009100000
0.987686150	-0.006575370
0.968787470	-0.003469980
0.951675360	-0.001427720
0.931175300	0.000048080
0.907524560	0.000452270
0.881009700	-0.000570440
0.851890260	-0.003467470
0.820513490	-0.008408640
0.787191530	-0.015559980
0.752252340	-0.025123240
0.716044920	-0.036803420
0.678906190	-0.050235460
0.641147520	-0.064818100
0.603088000	-0.079795310
0.565030900	-0.094379590
0.527248670	-0.107918330
0.489992360	-0.119926010
0.453492500	-0.130095540
0.417956070	-0.138294710
0.383560930	-0.144511310
0.350457320	-0.148807760
0.318774100	-0.151278330
0.288611290	-0.152078610
0.260041460	-0.151336770
0.233123440	-0.149217560
0.207883280	-0.145851750
0.184341250	-0.141392470
0.162499180	-0.135981440
0.142331760	-0.129758710
0.123806440	-0.122882610
0.091523400	-0.107767880
0.065187870	-0.091728450
0.044300350	-0.075671080
0.028220010	-0.060182340
0.016392190	-0.045662100
0.008219410	-0.032254190
0.003098790	-0.019863360
0.000599370	-0.007908880
0.000000000	0.000000000
0.000598780	0.008159400
0.003089980	0.020691720
0.006631280	0.030417420
0.013966200	0.044342980
0.021680710	0.055363960
0.035394840	0.070654660
0.048575810	0.082427700
0.070469200	0.098121040
0.090429020	0.109531420
0.113658760	0.120226610
0.140354650	0.129805540
0.170658190	0.137840510
0.204657630	0.143894450
0.242377800	0.147639020
0.283765800	0.148918160
0.328658460	0.147628550
0.376811230	0.143830820
0.427843230	0.137626220
0.481251550	0.129230280
0.536417630	0.118971390
0.592596730	0.107342220
0.648926780	0.094736030
0.704445390	0.081592880
0.758125460	0.068383660
0.808894550	0.055681220
0.855652760	0.043942110
0.897361210	0.033612810
0.933012840	0.024989420
0.961743130	0.018189390
0.976664220	0.014668680
0.988028440	0.011992750
1.000000000	0.009100000
</coords>	
