<reference>NuMad format, 73 pts.</reference>	
<coords>	
1.000000000	0.000000000
1.000000000	-0.009700000
0.987686150	-0.010998730
0.968787470	-0.014214220
0.951675360	-0.017993590
0.931175300	-0.023701720
0.907524560	-0.031978900
0.881009700	-0.042990560
0.851890260	-0.056664570
0.820513490	-0.072716360
0.787191530	-0.090730700
0.752252340	-0.110204620
0.716044920	-0.130449550
0.678906190	-0.150313190
0.641147520	-0.169369640
0.603088000	-0.186808620
0.565030900	-0.202426220
0.527248670	-0.215935760
0.489992360	-0.227147670
0.453492500	-0.235935870
0.417956070	-0.242217680
0.383560930	-0.246394770
0.350457320	-0.248314760
0.318774100	-0.248406800
0.288611290	-0.246688240
0.260041460	-0.243428710
0.233123440	-0.238677870
0.207883280	-0.232825210
0.184341250	-0.225850220
0.162499180	-0.217904610
0.142331760	-0.209112730
0.123806440	-0.199677180
0.091523400	-0.179048030
0.065187870	-0.156487870
0.044300350	-0.133198570
0.028220010	-0.109153750
0.016392190	-0.084981690
0.008219410	-0.061913020
0.003098790	-0.037491770
0.000599370	-0.014852680
0.000000000	0.000000000
0.000598780	0.010964290
0.003089980	0.033726220
0.006631280	0.053909500
0.013966200	0.077738380
0.021680710	0.095892860
0.035394840	0.120865760
0.048575810	0.139486260
0.070469200	0.163785550
0.090429020	0.181093380
0.113658760	0.197174000
0.140354650	0.211978740
0.170658190	0.224966790
0.204657630	0.235660260
0.242377800	0.243584220
0.283765800	0.248440200
0.328658460	0.250000000
0.376811230	0.247812180
0.427843230	0.242066760
0.481251550	0.232430740
0.536417630	0.219026670
0.592596730	0.202350370
0.648926780	0.183092270
0.704445390	0.161622430
0.758125460	0.138807840
0.808894550	0.115339630
0.855652760	0.092180200
0.897361210	0.070427430
0.933012840	0.050915990
0.961743130	0.034482090
0.976664220	0.025440310
0.988028440	0.018300450
1.000000000	0.010500000
</coords>	
