Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 18-Nov-2022 at 16:43:05.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  10 modes printed


 -------- Mode No.   1  (freq = 0.57001E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	-0.000008	-0.000770	-0.000001	-0.000056	 0.000006
 0.0400	-0.000031	-0.001602	-0.000002	-0.000117	 0.000012
 0.0600	-0.000071	-0.002546	-0.000005	-0.000189	 0.000020
 0.0800	-0.000132	-0.003700	-0.000010	-0.000290	 0.000030
 0.1000	-0.000219	-0.005189	-0.000017	-0.000437	 0.000045
 0.1250	-0.000377	-0.007724	-0.000031	-0.000707	 0.000075
 0.1500	-0.000606	-0.011067	-0.000052	-0.001052	 0.000131
 0.1691	-0.000839	-0.014022	-0.000075	-0.001332	 0.000206
 0.1880	-0.001128	-0.017214	-0.000102	-0.001608	 0.000325
 0.2071	-0.001480	-0.020643	-0.000134	-0.001880	 0.000525
 0.2261	-0.001898	-0.024276	-0.000172	-0.002161	 0.000848
 0.2451	-0.002382	-0.028053	-0.000215	-0.002465	 0.001268
 0.2661	-0.003000	-0.032420	-0.000269	-0.002824	 0.001880
 0.2870	-0.003709	-0.036956	-0.000330	-0.003193	 0.002749
 0.3080	-0.004510	-0.041479	-0.000399	-0.003555	 0.003703
 0.3288	-0.005399	-0.045998	-0.000475	-0.003909	 0.004735
 0.3509	-0.006446	-0.050876	-0.000564	-0.004279	 0.005933
 0.3730	-0.007593	-0.055847	-0.000659	-0.004642	 0.007232
 0.3950	-0.008849	-0.060925	-0.000763	-0.004999	 0.008619
 0.4171	-0.010216	-0.066106	-0.000874	-0.005347	 0.010089
 0.4391	-0.011695	-0.071372	-0.000993	-0.005688	 0.011608
 0.4589	-0.013116	-0.076218	-0.001106	-0.005991	 0.013034
 0.4785	-0.014626	-0.081252	-0.001223	-0.006294	 0.014560
 0.4983	-0.016241	-0.086469	-0.001348	-0.006598	 0.016162
 0.5180	-0.017950	-0.091791	-0.001477	-0.006899	 0.017823
 0.5377	-0.019770	-0.097233	-0.001613	-0.007199	 0.019553
 0.5578	-0.021731	-0.102862	-0.001757	-0.007502	 0.021367
 0.5779	-0.023801	-0.108518	-0.001907	-0.007804	 0.023223
 0.5980	-0.025992	-0.114190	-0.002063	-0.008106	 0.025133
 0.6181	-0.028285	-0.119813	-0.002225	-0.008409	 0.027083
 0.6382	-0.030687	-0.125313	-0.002393	-0.008709	 0.029029
 0.6573	-0.033063	-0.130434	-0.002557	-0.008983	 0.030899
 0.6763	-0.035536	-0.135523	-0.002727	-0.009246	 0.032855
 0.6955	-0.038115	-0.140559	-0.002902	-0.009489	 0.034847
 0.7145	-0.040774	-0.145488	-0.003080	-0.009697	 0.036825
